filepath,letter,skin_tone_id_pred,skin_tone_pred,skin_tone_manual,skin_tone_id_manual,skin_tone_final,skin_tone_id_final
data/train/A/A_63.jpg,A,1,medium,,,medium,1.0
data/train/A/A_823.jpg,A,0,light,,,light,0.0
data/train/A/A_837.jpg,A,0,light,,,light,0.0
data/train/A/A_77.jpg,A,1,medium,,,medium,1.0
data/train/A/A_189.jpg,A,1,medium,,,medium,1.0
data/train/A/A_1189.jpg,A,2,dark,,,dark,2.0
data/train/A/A_638.jpg,A,0,light,,,light,0.0
data/train/A/A_1162.jpg,A,2,dark,,,dark,2.0
data/train/A/A_162.jpg,A,1,medium,,,medium,1.0
data/train/A/A_604.jpg,A,0,light,,,light,0.0
data/train/A/A_610.jpg,A,0,light,,,light,0.0
data/train/A/A_176.jpg,A,1,medium,,,medium,1.0
data/train/A/A_88.jpg,A,1,medium,,,medium,1.0
data/train/A/A_1176.jpg,A,2,dark,,,dark,2.0
data/train/A/A_348.jpg,A,1,medium,,,medium,1.0
data/train/A/A_1348.jpg,A,2,dark,,,dark,2.0
data/train/A/A_1406.jpg,A,2,dark,,,dark,2.0
data/train/A/A_406.jpg,A,1,medium,,,medium,1.0
data/train/A/A_360.jpg,A,1,medium,,,medium,1.0
data/train/A/A_1360.jpg,A,2,dark,,,dark,2.0
data/train/A/A_1374.jpg,A,2,dark,,,dark,2.0
data/train/A/A_374.jpg,A,1,medium,,,medium,1.0
data/train/A/A_412.jpg,A,1,medium,,,medium,1.0
data/train/A/A_1412.jpg,A,2,dark,,,dark,2.0
data/train/A/A_6.jpg,A,1,medium,,,medium,1.0
data/train/A/A_599.jpg,A,0,light,,,light,0.0
data/train/A/A_1228.jpg,A,2,dark,,,dark,2.0
data/train/A/A_228.jpg,A,1,medium,,,medium,1.0
data/train/A/A_572.jpg,A,0,light,,,light,0.0
data/train/A/A_214.jpg,A,1,medium,,,medium,1.0
data/train/A/A_1214.jpg,A,2,dark,,,dark,2.0
data/train/A/A_1200.jpg,A,2,dark,,,dark,2.0
data/train/A/A_200.jpg,A,1,medium,,,medium,1.0
data/train/A/A_566.jpg,A,0,light,,,light,0.0
data/train/A/A_957.jpg,A,0,light,,,light,0.0
data/train/A/A_943.jpg,A,0,light,,,light,0.0
data/train/A/A_994.jpg,A,0,light,,,light,0.0
data/train/A/A_758.jpg,A,0,light,,,light,0.0
data/train/A/A_980.jpg,A,0,light,,,light,0.0
data/train/A/A_1016.jpg,A,2,dark,,,dark,2.0
data/train/A/A_770.jpg,A,0,light,,,light,0.0
data/train/A/A_764.jpg,A,0,light,,,light,0.0
data/train/A/A_1002.jpg,A,2,dark,,,dark,2.0
data/train/A/A_765.jpg,A,0,light,,,light,0.0
data/train/A/A_1003.jpg,A,2,dark,,,dark,2.0
data/train/A/A_1017.jpg,A,2,dark,,,dark,2.0
data/train/A/A_771.jpg,A,0,light,,,light,0.0
data/train/A/A_981.jpg,A,0,light,,,light,0.0
data/train/A/A_759.jpg,A,0,light,,,light,0.0
data/train/A/A_995.jpg,A,0,light,,,light,0.0
data/train/A/A_942.jpg,A,0,light,,,light,0.0
data/train/A/A_956.jpg,A,0,light,,,light,0.0
data/train/A/A_201.jpg,A,1,medium,,,medium,1.0
data/train/A/A_1201.jpg,A,2,dark,,,dark,2.0
data/train/A/A_567.jpg,A,0,light,,,light,0.0
data/train/A/A_573.jpg,A,0,light,,,light,0.0
data/train/A/A_1215.jpg,A,2,dark,,,dark,2.0
data/train/A/A_215.jpg,A,1,medium,,,medium,1.0
data/train/A/A_229.jpg,A,1,medium,,,medium,1.0
data/train/A/A_1229.jpg,A,2,dark,,,dark,2.0
data/train/A/A_598.jpg,A,0,light,,,light,0.0
data/train/A/A_7.jpg,A,1,medium,medium,1.0,medium,1.0
data/train/A/A_375.jpg,A,1,medium,,,medium,1.0
data/train/A/A_1375.jpg,A,2,dark,,,dark,2.0
data/train/A/A_1413.jpg,A,2,dark,,,dark,2.0
data/train/A/A_413.jpg,A,1,medium,medium,1.0,medium,1.0
data/train/A/A_407.jpg,A,1,medium,,,medium,1.0
data/train/A/A_1407.jpg,A,2,dark,,,dark,2.0
data/train/A/A_1361.jpg,A,2,dark,,,dark,2.0
data/train/A/A_361.jpg,A,1,medium,,,medium,1.0
